python3 -m cProfile -s cumtime src/main.py >> profile.txt
         1015011 function calls (1009599 primitive calls) in 7.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3600    0.028    0.000    0.046    0.000 streams.py:317(drain)
        1    0.000    0.000    0.046    0.046 platform.py:10(<module>)
        1    0.000    0.000    0.045    0.045 _policybase.py:4(<module>)
       13    0.000    0.000    0.045    0.003 enum.py:604(_convert)
        1    0.000    0.000    0.044    0.044 unix_events.py:1(<module>)
     3553    0.027    0.000    0.043    0.000 random.py:223(_randbelow)
       81    0.005    0.000    0.043    0.001 typing.py:922(__new__)
     7257    0.028    0.000    0.043    0.000 {built-in method builtins.all}
     1358    0.005    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.040    0.040 selector_events.py:5(<module>)
        1    0.000    0.000    0.040    0.040 __init__.py:19(<module>)
        1    0.000    0.000    0.039    0.039 reduction.py:10(<module>)
     1857    0.014    0.000    0.039    0.000 enum.py:803(__and__)
      717    0.003    0.000    0.038    0.000 streams.py:258(data_received)
        1    0.000    0.000    0.038    0.038 connection.py:10(<module>)
      340    0.009    0.000    0.037    0.000 inspect.py:2100(_signature_from_function)
     5654    0.021    0.000    0.037    0.000 base_futures.py:23(isfuture)
     1094    0.010    0.000    0.037    0.000 pokemon.py:165(update_from_switch)
      345    0.008    0.000    0.037    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.037    0.037 universaldetector.py:36(<module>)
     1368    0.036    0.000    0.036    0.000 {built-in method posix.stat}
      176    0.008    0.000    0.036    0.000 abc.py:132(__new__)
        2    0.000    0.000    0.036    0.018 pyopenssl.py:423(load_verify_locations)
        2    0.000    0.000    0.036    0.018 SSL.py:751(load_verify_locations)
        2    0.036    0.018    0.036    0.018 {built-in method _openssl.SSL_CTX_load_verify_locations}
     1356    0.020    0.000    0.036    0.000 tasks.py:367(_wait)
        1    0.000    0.000    0.036    0.036 pokemon.py:1(<module>)
        1    0.000    0.000    0.036    0.036 _big_num_ctypes.py:20(<module>)
      717    0.007    0.000    0.035    0.000 streams.py:418(feed_data)
      719    0.035    0.000    0.035    0.000 {method 'recv' of '_socket.socket' objects}
        1    0.000    0.000    0.035    0.035 _base.py:4(<module>)
        3    0.000    0.000    0.034    0.011 __init__.py:274(load)
        1    0.000    0.000    0.034    0.034 ssl.py:91(<module>)
     3600    0.021    0.000    0.034    0.000 protocol.py:921(writer_is_closing)
        1    0.000    0.000    0.034    0.034 util.py:311(find_library)
        1    0.000    0.000    0.034    0.034 util.py:248(_findSoname_ldconfig)
        1    0.000    0.000    0.033    0.033 _util.py:1(<module>)
     2992    0.015    0.000    0.033    0.000 battle.py:112(_get_pokemon_from_reference)
        1    0.000    0.000    0.032    0.032 client.py:4(<module>)
     3082    0.018    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     2146    0.014    0.000    0.031    0.000 base_events.py:600(_call_soon)
      618    0.009    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.030    0.030 binding.py:5(<module>)
    18900    0.030    0.000    0.030    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.030    0.030 __init__.py:24(<module>)
        4    0.000    0.000    0.029    0.007 utils.py:5(<module>)
        1    0.000    0.000    0.028    0.028 tempfile.py:24(<module>)
       28    0.007    0.000    0.028    0.001 enum.py:124(__new__)
    15/14    0.000    0.000    0.028    0.002 <frozen importlib._bootstrap_external>:919(create_module)
    15/14    0.020    0.001    0.028    0.002 {built-in method _imp.create_dynamic}
       27    0.003    0.000    0.027    0.001 __init__.py:357(namedtuple)
    56/54    0.000    0.000    0.027    0.000 typing.py:676(inner)
     9301    0.026    0.000    0.026    0.000 {built-in method __new__ of type object at 0x9cff80}
        1    0.000    0.000    0.026    0.026 socket.py:47(<module>)
       35    0.001    0.000    0.025    0.001 typing.py:1099(__getitem__)
     9485    0.025    0.000    0.025    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.025    0.025 general_name.py:5(<module>)
      721    0.004    0.000    0.025    0.000 streams.py:393(_wakeup_waiter)
    14646    0.024    0.000    0.024    0.000 streams.py:405(_maybe_resume_transport)
       13    0.001    0.000    0.024    0.002 enum.py:366(_create_)
      678    0.004    0.000    0.024    0.000 tasks.py:380(_on_completion)
     3598    0.018    0.000    0.024    0.000 protocol.py:622(ensure_open)
      170    0.002    0.000    0.024    0.000 inspect.py:2846(__eq__)
        2    0.000    0.000    0.024    0.012 pyopenssl.py:345(getpeercert)
        2    0.000    0.000    0.023    0.011 binding.py:134(init_static_locks)
        5    0.000    0.000    0.023    0.005 binding.py:120(_ensure_ffi_initialized)
        1    0.000    0.000    0.023    0.023 subprocess.py:588(__init__)
        1    0.000    0.000    0.022    0.022 subprocess.py:1208(_execute_child)
       91    0.000    0.000    0.022    0.000 typing.py:133(__new__)
        2    0.000    0.000    0.022    0.011 rsa.py:5(<module>)
        1    0.000    0.000    0.022    0.022 ciphers.py:5(<module>)
      309    0.022    0.000    0.022    0.000 {method 'read' of '_io.FileIO' objects}
     8668    0.022    0.000    0.022    0.000 framing.py:213(check)
        1    0.008    0.008    0.021    0.021 binding.py:79(build_conditional_library)
      633    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap>:403(cached)
      360    0.010    0.000    0.021    0.000 pokemon.py:12(__init__)
        2    0.000    0.000    0.021    0.010 pyopenssl.py:195(get_subj_alt_name)
        2    0.000    0.000    0.021    0.010 connection.py:1(<module>)
     4188    0.013    0.000    0.020    0.000 sre_parse.py:253(get)
 1329/745    0.003    0.000    0.020    0.000 {built-in method builtins.issubclass}
8412/8342    0.017    0.000    0.020    0.000 {method 'join' of 'str' objects}
      241    0.003    0.000    0.020    0.000 sre_compile.py:223(_compile_charset)
      147    0.002    0.000    0.020    0.000 abc.py:151(register)
     8689    0.020    0.000    0.020    0.000 __init__.py:1530(getEffectiveLevel)
  202/159    0.007    0.000    0.020    0.000 abc.py:196(__subclasscheck__)
        1    0.000    0.000    0.020    0.020 __init__.py:99(<module>)
     3600    0.013    0.000    0.019    0.000 inspect.py:201(isgenerator)
       13    0.004    0.000    0.019    0.001 enum.py:625(<listcomp>)
      324    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      340    0.007    0.000    0.019    0.000 inspect.py:2832(_hash_basis)
    10800    0.019    0.000    0.019    0.000 {method 'write' of '_io.BytesIO' objects}
     9570    0.018    0.000    0.018    0.000 {built-in method _struct.unpack}
      693    0.002    0.000    0.018    0.000 coroutines.py:270(iscoroutine)
     6366    0.018    0.000    0.018    0.000 pokemon.py:137(<listcomp>)
        1    0.000    0.000    0.018    0.018 mbcsgroupprober.py:30(<module>)
        1    0.000    0.000    0.018    0.018 __init__.py:97(<module>)
     9568    0.017    0.000    0.017    0.000 {method 'getrandbits' of '_random.Random' objects}
      678    0.005    0.000    0.017    0.000 tasks.py:311(<setcomp>)
        1    0.000    0.000    0.017    0.017 inspect.py:27(<module>)
     9139    0.017    0.000    0.017    0.000 {method 'startswith' of 'str' objects}
        1    0.017    0.017    0.017    0.017 {built-in method _posixsubprocess.fork_exec}
     7202    0.016    0.000    0.016    0.000 {built-in method _struct.pack}
      748    0.007    0.000    0.016    0.000 abc.py:180(__instancecheck__)
      451    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        1    0.000    0.000    0.016    0.016 move.py:1(<module>)
        1    0.000    0.000    0.016    0.016 cookies.py:127(<module>)
      493    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        2    0.000    0.000    0.015    0.008 dsa.py:5(<module>)
     4856    0.010    0.000    0.015    0.000 enum.py:517(__new__)
      360    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:147(__enter__)
        2    0.000    0.000    0.015    0.007 decoder.py:2(<module>)
        2    0.000    0.000    0.014    0.007 sessions.py:426(prepare_request)
      903    0.005    0.000    0.014    0.000 selector_events.py:521(_process_events)
        1    0.000    0.000    0.014    0.014 traceback.py:1(<module>)
